# Date, spot_meas, millis
2000-01-01T00:00:00Z, 20.63, 212
2000-01-01T00:00:00Z, 20.69, 1320
2000-01-01T00:00:00Z, 20.69, 2427
2000-01-01T00:00:00Z, 20.63, 3535
2000-01-01T00:00:00Z, 20.63, 4643
2000-01-01T00:00:00Z, 20.63, 5751
2000-01-01T00:00:00Z, 20.63, 6858
2000-01-01T00:00:00Z, 20.69, 7966
2000-01-01T00:00:00Z, 20.69, 9074
2000-01-01T00:00:00Z, 20.63, 10182
2000-01-01T00:00:00Z, 20.63, 11289
2000-01-01T00:00:00Z, 20.69, 12397
2000-01-01T00:00:00Z, 20.69, 13505
2000-01-01T00:00:00Z, 20.69, 14611
2000-01-01T00:00:00Z, 20.69, 15719
2000-01-01T00:00:00Z, 20.69, 16827
2000-01-01T00:00:00Z, 20.69, 17935
2000-01-01T00:00:00Z, 20.69, 19043
2000-01-01T00:00:00Z, 20.69, 20157
2000-01-01T00:00:00Z, 20.69, 21265
2000-01-01T00:00:00Z, 20.69, 22373
2000-01-01T00:00:00Z, 20.69, 23481
2000-01-01T00:00:00Z, 20.69, 24589
2000-01-01T00:00:00Z, 20.69, 25698
2000-01-01T00:00:00Z, 20.69, 26806
2000-01-01T00:00:00Z, 20.69, 27914
2000-01-01T00:00:00Z, 20.69, 29022
2000-01-01T00:00:00Z, 20.69, 30130
2000-01-01T00:00:00Z, 20.69, 31242
2000-01-01T00:00:00Z, 20.69, 32350
2000-01-01T00:00:00Z, 20.69, 33458
2000-01-01T00:00:00Z, 20.69, 34566
2000-01-01T00:00:00Z, 20.69, 35674
2000-01-01T00:00:00Z, 20.69, 36782
2000-01-01T00:00:00Z, 20.69, 37891
2000-01-01T00:00:00Z, 20.69, 38999
2000-01-01T00:00:00Z, 20.63, 40107
2000-01-01T00:00:00Z, 20.69, 41214
2000-01-01T00:00:00Z, 20.63, 42322
2000-01-01T00:00:00Z, 20.69, 43430
2000-01-01T00:00:00Z, 20.63, 44539
2000-01-01T00:00:00Z, 20.63, 45647
2000-01-01T00:00:00Z, 20.63, 46758
2000-01-01T00:00:00Z, 20.63, 47866
2000-01-01T00:00:00Z, 20.63, 48974
2000-01-01T00:00:00Z, 20.69, 50082
2000-01-01T00:00:00Z, 20.69, 51190
2000-01-01T00:00:00Z, 20.63, 52299
2000-01-01T00:00:00Z, 20.69, 53407
2000-01-01T00:00:00Z, 20.63, 54515
2000-01-01T00:00:00Z, 20.63, 55623
2000-01-01T00:00:00Z, 20.63, 56731
2000-01-01T00:00:00Z, 20.69, 57839
2000-01-01T00:00:00Z, 20.69, 58947
2000-01-01T00:00:00Z, 20.69, 60056
2000-01-01T00:00:00Z, 20.69, 61164
2000-01-01T00:00:00Z, 20.63, 62275
2000-01-01T00:00:00Z, 20.63, 63388
2000-01-01T00:00:00Z, 20.69, 64496
2000-01-01T00:00:00Z, 20.69, 65604
2000-01-01T00:00:00Z, 20.69, 66713
2000-01-01T00:00:00Z, 20.69, 67821
2000-01-01T00:00:00Z, 20.69, 68929
2000-01-01T00:00:00Z, 20.69, 70037
2000-01-01T00:00:00Z, 20.69, 71146
2000-01-01T00:00:00Z, 20.63, 72254
2000-01-01T00:00:00Z, 20.69, 73362
2000-01-01T00:00:00Z, 20.63, 74470
2000-01-01T00:00:00Z, 20.63, 75578
2000-01-01T00:00:00Z, 20.63, 76687
2000-01-01T00:00:00Z, 20.69, 77798
2000-01-01T00:00:00Z, 20.69, 78906
2000-01-01T00:00:00Z, 20.63, 80014
2000-01-01T00:00:00Z, 20.63, 81122
2000-01-01T00:00:00Z, 20.63, 82230
2000-01-01T00:00:00Z, 20.63, 83338
2000-01-01T00:00:00Z, 20.69, 84447
# Date, spot_meas, millis
2000-01-01T00:00:00Z, 25.00, 305
2000-01-01T00:00:00Z, 20.63, 1424
# Date, spot_meas, millis
2000-01-01T00:00:00Z, 20.63, 193
2000-01-01T00:00:00Z, 20.63, 1301
2000-01-01T00:00:00Z, 20.63, 2409
2000-01-01T00:00:00Z, 20.63, 3517
2000-01-01T00:00:00Z, 20.63, 4628
2000-01-01T00:00:00Z, 20.63, 5737
2000-01-01T00:00:00Z, 20.63, 6845
2000-01-01T00:00:00Z, 20.63, 7953
2000-01-01T00:00:00Z, 20.63, 9061
2000-01-01T00:00:00Z, 20.63, 10169
2000-01-01T00:00:00Z, 20.69, 11277
2000-01-01T00:00:00Z, 20.63, 12385
2000-01-01T00:00:00Z, 20.63, 13493
2000-01-01T00:00:00Z, 20.63, 14601
2000-01-01T00:00:00Z, 20.63, 15709
2000-01-01T00:00:00Z, 20.63, 16823
2000-01-01T00:00:00Z, 20.63, 17931
2000-01-01T00:00:00Z, 20.63, 19039
2000-01-01T00:00:00Z, 20.63, 20147
2000-01-01T00:00:00Z, 20.63, 21258
2000-01-01T00:00:00Z, 20.63, 22366
2000-01-01T00:00:00Z, 20.63, 23474
2000-01-01T00:00:00Z, 20.63, 24582
2000-01-01T00:00:00Z, 20.63, 25690
2000-01-01T00:00:00Z, 20.63, 26797
2000-01-01T00:00:00Z, 20.63, 27905
2000-01-01T00:00:00Z, 20.63, 29012
2000-01-01T00:00:00Z, 20.63, 30120
2000-01-01T00:00:00Z, 20.63, 31228
2000-01-01T00:00:00Z, 20.63, 32335
2000-01-01T00:00:00Z, 20.63, 33443
2000-01-01T00:00:00Z, 20.63, 34551
2000-01-01T00:00:00Z, 20.63, 35659
2000-01-01T00:00:00Z, 20.63, 36788
2000-01-01T00:00:00Z, 20.63, 37910
2000-01-01T00:00:00Z, 20.63, 39032
2000-01-01T00:00:00Z, 20.63, 40155
2000-01-01T00:00:00Z, 20.63, 41276
2000-01-01T00:00:00Z, 20.63, 42398
2000-01-01T00:00:00Z, 20.56, 43521
2000-01-01T00:00:00Z, 20.63, 44643
2000-01-01T00:00:00Z, 20.63, 45765
2000-01-01T00:00:00Z, 20.63, 46887
2000-01-01T00:00:00Z, 20.63, 48010
2000-01-01T00:00:00Z, 20.63, 49131
2000-01-01T00:00:00Z, 20.63, 50253
2000-01-01T00:00:00Z, 20.63, 51376
2000-01-01T00:00:00Z, 20.63, 52502
2000-01-01T00:00:00Z, 20.63, 53624
2000-01-01T00:00:00Z, 20.63, 54747
2000-01-01T00:00:00Z, 20.69, 55869
2000-01-01T00:00:00Z, 20.63, 56991
2000-01-01T00:00:00Z, 20.63, 58115
# Date, spot_meas, millis
2000-01-01T00:00:00Z, 20.63, 218
2000-01-01T00:00:00Z, 20.63, 1340
2000-01-01T00:00:00Z, 20.63, 2462
2000-01-01T00:00:00Z, 20.63, 3586
2000-01-01T00:00:00Z, 20.63, 4708
2000-01-01T00:00:00Z, 20.63, 5831
2000-01-01T00:00:00Z, 20.63, 6953
